Action,Application,Attribute Name,Attribute Value,Date,Source,Target
Create,,,,"5/17/23, 2:10 PM",Unknown,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/28/23, 2:08 AM",Unknown,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/20/23, 3:56 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/20/23, 3:56 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"4/20/23, 3:56 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"4/20/23, 3:56 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"4/20/23, 3:56 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"4/20/23, 4:28 PM",spadmin,TaskSchedule:DHG Active Directory Sequential Full Account Aggregation Weekly
Create,,,,"4/20/23, 4:28 PM",spadmin,TaskSchedule:DHG Active Directory Sequential Full Group Aggregation Weekly
Create,,,,"4/20/23, 4:28 PM",spadmin,TaskSchedule:DHG ActiveDirectory Sequential Delta Account Aggregation
Create,,,,"4/20/23, 4:28 PM",spadmin,TaskSchedule:DHG ActiveDirectory Sequential Delta Group Aggregation
Create,,,,"4/20/23, 4:28 PM",spadmin,TaskSchedule:DHG Post Aggregation Refresh Identity - Attribute Sync and Role Assignment
Create,,,,"4/20/23, 4:29 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure Active Directory Account Aggregation
Create,,,,"4/20/23, 4:29 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Account Delta Aggregation
Create,,,,"4/20/23, 4:29 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Group Aggregation
Create,,,,"4/20/23, 4:29 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Group Delta Aggregation
Create,,,,"4/20/23, 4:30 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Group Delta Aggregation
Create,,,,"4/20/23, 4:30 PM",spadmin,TaskSchedule:DHG TaskDefinition Empty DHR Tab
Create,,,,"4/20/23, 4:30 PM",spadmin,TaskSchedule:DHG TaskDefinition Mover Post Processing
Create,,,,"4/20/23, 4:30 PM",spadmin,TaskSchedule:DHG Workday Delta Aggregation and Refresh Sequential Task
Create,,,,"4/20/23, 4:30 PM",spadmin,TaskSchedule:DHG Workday Full Aggregation and Refresh Sequential Task
Create,,,,"4/20/23, 5:15 PM",spadmin,TaskSchedule:DHG Active Directory Sequential Full Account Aggregation Weekly
Create,,,,"4/20/23, 5:15 PM",spadmin,TaskSchedule:DHG Active Directory Sequential Full Group Aggregation Weekly
Create,,,,"4/20/23, 5:15 PM",spadmin,TaskSchedule:DHG ActiveDirectory Sequential Delta Account Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG ActiveDirectory Sequential Delta Group Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG Post Aggregation Refresh Identity - Attribute Sync and Role Assignment
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG ActiveDirectory Sequential Delta Group Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure Active Directory Account Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Account Delta Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Group Aggregation
Create,,,,"4/20/23, 5:16 PM",spadmin,TaskSchedule:DHG Workday Full Aggregation and Refresh Sequential Task
Create,,,,"4/20/23, 5:17 PM",spadmin,TaskSchedule:DHG Workday Delta Aggregation and Refresh Sequential Task
Create,,,,"4/20/23, 5:17 PM",spadmin,TaskSchedule:DHG TaskDefinition Mover Post Processing
Create,,,,"4/20/23, 5:18 PM",spadmin,TaskSchedule:DHG TaskDefinition Empty DHR Tab
Create,,,,"4/20/23, 5:18 PM",spadmin,TaskSchedule:DHG TaskDefinition Azure ActiveDirectory Group Aggregation
Create,,,,"4/20/23, 5:28 PM",spadmin,TaskSchedule:DHG Workday Delta Aggregation and Refresh Sequential Task
Create,,,,"4/20/23, 1:25 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/20/23, 1:25 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"4/20/23, 1:25 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"4/20/23, 1:25 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"4/20/23, 1:25 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"4/21/23, 3:23 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/21/23, 3:23 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"4/21/23, 3:23 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"4/21/23, 3:23 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"4/21/23, 3:23 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"4/24/23, 2:15 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/24/23, 2:15 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"4/24/23, 2:15 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"4/24/23, 2:15 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"4/24/23, 2:15 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"4/27/23, 3:27 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"4/27/23, 3:27 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"4/27/23, 3:27 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"4/27/23, 3:27 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"4/27/23, 3:27 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/3/23, 10:49 AM",spadmin,Rule:DHG Rule IdentityAttribute AdDisplayName
Create,,,,"5/3/23, 10:52 AM",spadmin,Rule:DHG Rule Update Scope
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskDefinition:DHG TaskDefinition Update Scope
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/4/23, 9:19 AM",spadmin,TaskSchedule:DHG Workday Full Aggregation and Refresh Sequential Task
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/9/23, 3:27 PM",spadmin,Rule:DHG Rule IdentityAttribute Source DisplayName
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
